raw_name,standard_name,foreign_name,years,original_note,references,source_pdf,source_page,needs_review
"阿布拉莫维奇","","","1880-1963","拉法伊尔(A6pamo- 1917年二月资产阶级民主革命 BK,Patann )(雷 后同列宁一起回国；是彼得格勒 因,拉法伊尔•； 奥赫塔以的责任组织员,在罗马 莫维奇 Penu,Patann A6pamo- 尼亚战线担任鼓动员。 BH5,Mosnw)-崩得首领之一。 反动时期和新的革命高涨年代是","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","91","true"
"任职","","","","后在共产国际工作(1931 取消派分子,参加过托洛获基于 年以前)。1932年起做党的工作, 1912年8月在维也纳召集的反 后从事教育工作。--49,51。 党代表会议,会上结成反布尔什","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","91","true"
"阿布拉姆-见克雷迮树","","","","尼• 维克联盟。第一次世界火战期间 瓦 是中派分子。1917年回国后,加","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","91","true"
"阿布拉姆--见斯科夫诺","","","","阿•安• 十月社会主义革命后在红军","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","91","true"
"阿布罗西莫夫","","","","弗拉基米尔•莫伊 ialismus>.1918)、《恩格斯和白然","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","92","true"
"谢也维奇","","","1910-1911","(AGpocuMOB,B.1aAH- MHp MonceeB 生于1878年) senschaft>.1925)。作 (弗•阿•B.A.)--保安局说 探。在反动时期和新的革命高涨 年代是活的取消派分子。1912 年参加过反党的八月代表会议, 是孟什维克机关报刊《我们的曙 光》杂志和《光线报》的撰稿人。 第一次世界大战期问是社会沙文 主义者；组委会分子和中央军事 八年革命后,他投靠了反革命营 工业委员会工人团成员。----22。","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","92","true"
"何达莫维奇","","","","罗斯李斯拉夫•安东 诺维奇 (AIaMOBIN,POCTHCJaB AuToHOBn4生于1874年)--土 壤改良专家,经济学家,统计学 家。1921年5月起任农业人民委 员部土壤改良试验处办公室主 30-32, 34,37, 39,40,41,43,46. 任。-54。 49。","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","92","true"
"阿德勒","","","","弗里德里希(弗•阿•)","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","92","true"
"阿德勒","","","1879-","维克多(Adler, Victor (Adler, Friedrich -1960) 1852-1918)--奥地利社会民 -奥地利社会民主党的活动 家,所谓“奥地利马克思主义”的 1886年创办《平等报》。1889年 理论家之一。1907-1911年任苏 黎世大学讲师；在哲学上是经验 批判主义的信徒,妄图以马赫主 义哲学“补充”马克思主义。除了 89 列心提到的论文外,其著名哲学 著作有：《马赫战胜了机械唯物主","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","92","true"
"义》(《Frnst Machs Uibcrwin- dung des mechanischen Mater-","","","","义》(《Frnst Machs Uibcrwin- dung des mechanischen Mater","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","92","true"
"科学","","","1921 -1923","》(《Engels und Naturwis- 任瑞士社会民主党机关报《民权 报》编辑,后任奥地利社会民主 党书记。1916年10月21日,他 枪杀了奥地利首相施图尔克伯 爵；列宁称此行动是“考茨基分 子的绝望行为”(《列宁全集》第 35 卷第228页)。奥地利一九一 垒,列宁称此时期的阿德勒是出 卖社会主义的最无耻的叛徒之 一。问德勒在政治上是改良主义 者,曾参加创立第二半国际,后成为社会主义工人 国际的首领之一。--18,25,28, 主党的组织者和领导人之一。 起任奥地利社会民主党中央机关 报《工人报》编辑。八十年代至九","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","92","true"
"十年代","","","","维•阿德勒曾与恩格斯 保持联系,但在恩格斯逝世后,很","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","92","true"
"系统建立起来的因素","","","","》(«Kants 期间采取中派立场,鼓吹“阶级和 Systematik als systembil- 平”,反对工人阶级的革命的发 dender Faktor. 1887)、《康德 动。1918年奥地利建立资产阶级","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","93","true"
"反对海克尔","","","1924-1925","》(《Kant contra Hae• 共和国后,一度担任外交部长。 ckel>. 1901)、《自然科学家康 阿德勒在担任奥地利议员 #»(«Kant als Naturforscher». 时,应娜•康•克魯普斯卡娅的 )等。--18。","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","93","true"
"请求","","","","曾为列宁(1914年7月26","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","93","true"
"阿多拉茨基","","","","弗拉基米尔•维克多 日〔8月8日〕因受诬告在加里西","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","93","true"
